ID,Short Name,Long Name,Type,Internal Link,External Link,Summary,Read Time,Requires an Account,       Demountable Design,       Designing for Mixed-Use,       Modular Design,       Designing for Adaptive Reuse,       Maximizing Space Utilization,       Designing for Material Optimization,       3D Printing Cradle to Cradle Material,       Prefabrication,       Selling Renewable Energy,       Internet of Things / BIM for Operations,       Space Utilization,       Existing Structure,       Adaptive Reuse of Existing Building,       Harvesting Grey Water,       Harvesting Runoff,       Natural Lighting and Ventilation,       Upcycling,       Downcycling,       Salvaged Materials from Demolitions,       Open Source Design,       Material Passports,       Storage and Distribution Facilities,       Connecting Salvage Supply and Demand,       Remanufacturing Salvaged Materials,       Capturing Waste Material from Other Industries,       Brownfield Remediation,       Take-Back Services,       Leased Materials,       Product as a Service (PaaS),       Optimizing Material Transportation,,
16,Space Planning,,Resource,,https://serraview.com/solutions-5/space-planning/?utm_term=space%20utilization&utm_campaign=Serraview+%7C+Space+Management+Search&utm_source=adwords&utm_medium=ppc&hsa_acc=1343442894&hsa_cam=808159332&hsa_grp=37282111850&hsa_ad=473363240300&hsa_src=g&hsa_tgt=kwd-300410374682&hsa_kw=space%20utilization&hsa_mt=p&hsa_net=adwords&hsa_ver=3&gclid=CjwKCAiAmrOBBhA0EiwArn3mfAAfWesSXBB20g9Qupq7He4iMHYbdJDW2JsZPyfpR4ZOZwcC2c3NoBoCW70QAvD_BwE,"Serraview helps entities make the most of their estate through space management, space utilization, space planning, relocation management, activity based working strategies, and scenario planning. ",,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
17,Efficient Practices,Efficient Design and Building Practices Can Effectively Reduce Your Waste Stream and Boost Your Bottom Line,Learn,,https://www.architectmagazine.com/technology/products/efficient-design-and-building-practices-can-effectively-reduce-your-waste-stream-and-boost-your-bottom-line_o,How can we create less new material and make the most of our existing material stock? This article explains the mind shift and strategies needed to keep our existing material stock in motion. ,5 min,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3D-printed Community,The first 3D-printed housing community in the US is being built in the California Desert,Example,,https://www.cnn.com/2021/03/18/business/california-3d-printed-neighborhood-trnd/index.html?utm_term=1616150817359eeb06c1669ed&utm_source=cnn_Five+Things+for+Friday%2C+March+19%2C+2021&utm_medium=email&utm_campaign=1616150817361&bt_ee=AgelTBEKw6gtMWFmR5XeFy9UF3UzirdWrlw%2FhBX4RlCGHBdeqIHyCMdkqKkWvKKf&bt_ts=1616150817361,This project is a case study that looks into the benefits of 3D printed housing in comparison to a traditionally framed home. ,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
19,MEETS,MEETS: A Win-Win Path to Deep Energy Efficiency,Example,,https://www.youtube.com/watch?app=desktop&v=6bJN88CevrA&t=1s,"MEETS is a perfect example of the Circular Economy in that it uses economics in its solution to make renewable energy attractive to all of its stakeholders. Here you will learn about the incentive to use renewables, and give energy back to the grid. ",,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
20,Iot,IoT and its uses in buildings,Learn,,https://smartbuildingsmagazine.com/features/iot-and-its-uses-in-buildings,"This is a great intro to the ""Internet of Things"" (IoT), what it is, how our industry uses it, and how it can be implemented. ",5 min,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
21,Adaptive Reuse,20 Creative Adaptive Reuse Projects,Example,,https://www.archdaily.com/783283/20-creative-adaptive-reuse-projects,"We can demolish a building of one use and build another for a different use, but the circular economy would champion creativity to something new of the old. Here Archdaily is showcasing a number of projects that have done just that to divert construction material from the landfill and make new of the old. ",,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
22,Venlo City Hall,,Example,\\cga\Data\General\Dept\KnowledgeMgmt\ReCouncil\03_Project Folders\Circular Economy\Sources\Venlo City Hall.pdf,,"Venlo City Hall does a great job at ""regenerating natural systems"", which is the third pillar of circularity. It's ability to use existing natural resources makes it emulate the the natural patterns of the land it sits on. Learn more here on how it is achieving its regenerative nature. ",,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,
23,Upcycling and Recycling,What is the difference between recycling and upcycling,Learn,,"https://www.forgerecycling.co.uk/blog/what-is-the-difference-between-recycling-and-upcycling/#:~:text=Recycling%20involves%20the%20destruction%20of,it%20in%20its%20current%20state.&text=While%20recycling%20is%20practical%2C%20upcycling,to%20create%20the%20finished%20product.",There is much confusion across industries on the difference between recycling and upcycling. You can learn the differences here. These are important ideas to be aware of as the Circular Economy is built primarily on the idea up upcycling vs recycling. ,5 min,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,
24,Average Building Ages,,Resource,\\cga\Data\General\Dept\KnowledgeMgmt\ReCouncil\03_Project Folders\Circular Economy\Sources\Waste Data\BuildingAgeData.pdf,,When it comes to salvaging material or urban mining it is helpful for us to know which buildings in our urban setting may be ripe for harvesting. This list gives the average lifespans of building types so you can start to analyze where your city could begin its urban mining endeavor. ,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,
25,Brummen Hall,,Example,,https://www.circulareconomyclub.com/solutions/modular-building-brummen-town-hall/,"Brummen hall uses key strategies to being a ciruclar building. It is built using existing structure, boasts demountable materials, and utilizes material passports. ",,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,
26,Circular Facades,,Resource,,https://www.circularfacades.com/home,"Circular Facades is a resource for design and construction professionals seaking inspiration and guidance through interactive tools, examples, strategies, and knowledge sharing.",,,TRUE,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
27,Construction Waste Management,,Learn,,https://www.wbdg.org/resources/construction-waste-management,This is as indepth article outlining the importance of and strategies to incoproate waste managment in the construction process. ,30 min,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,
28,C2C inspired building,City Hall Venlo,Example,,Case Study City Hall Venlo page 2.psd (c2c-centre.com),"This case study examines City Hall Venlo in the Netherlands, and ambitous cradle to cradle inspired project. ",,,,,,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,,,,,
29,Headbox,Spacesharing,Resource,,https://www.headbox.com/,Headbox is a spacesharing resource allowing users to book available spaces in venues accross the United Kingdom.,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
30,Globechain,reuse marketplace,Resource,,https://globechain.com/,Globechain is a marketplace resource for built-enviornment products and materials.,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
31,First Mushroom Brick Town,,Example,,https://www.arup.com/news-and-events/hyfi-reinvents-the-brick,"Arup is a world leader in engineering and design consulting services, and in this case study they have used their expertise in a collaboration with The Living to study the use of a fungi and agricultural waste based brick.",,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
32,RE-USE Consulting,,Resource,,https://reuseconsulting.com/,"RE-USE primarily provides consulting services, but also provides deconstruction services, and materials (on a limited basis). They are pioneers in the practical application of the circular economy in the built environment and are educating clients, designers, and contractors in the incredible financial and environmental benefits of building material harvesting and reuse.",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
33,"Planning for Compact, Connected Cities",,Learn,,https://www.ellenmacarthurfoundation.org/assets/downloads/1_Buildings_Planning_Mar19.pdf,"Learn more here on how mixed use buildings can not only create a more livable, efficient city but also prolong the life of buildings.",5 min,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Wilmington Waterfront Park,,Example,,https://www.sasaki.com/projects/wilmington-waterfront-park/,Wilmington Waterfront park is a case study for how to utilize brownfield sites to deter the use and preserve our existing greenfield sites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
